"Available for sale","Disponível para venda"
"unit(s)","unidade(s)"
"Devsync","Devsync"
"Featured Product","Produto em Destaque"
"Homepage Featured Product Box","Caixa de Produto em Destaque (Home)"
"Enable Block","Habilitar Bloco"
"Featured Product SKU","SKU do Produto em Destaque"
"SKU of the product to be displayed on the homepage box.","SKU do produto que será exibido na caixa da homepage."
"Box Title","Título da Caixa"
"Stock Refresh Interval (seconds)","Intervalo de Atualização do Estoque (segundos)"
"Optional badge/label shown above the product name (e.g. ""Deal of the day"").","Selo/rótulo opcional exibido acima do nome do produto (ex.: ""Oferta do dia"")."
"How often the available quantity is refreshed in real time, without reloading the page. Minimum 2 seconds.","Frequência com que a quantidade disponível é atualizada em tempo real, sem recarregar a página. Mínimo de 2 segundos."
